Word,Word class,Imageability (level),Imageability,Number of phonological neighbours (level),Number of phonological neighbours,Phonological neighbourhood density (level),Number of letters,Number of sounds,Number of syllables,Transitivity
å skrike,verb,medium,5.642066143,some,11,medium,6,6,2,alternating
å skrive,verb,medium,6.031913244,some,8,high,6,6,2,alternating
å skrive på maskin,verb,high,6.83887737,no info,,,16,14,5,transitive
å skru,verb,medium,6.368072756,some,10,medium,4,4,1,alternating
å skulle,verb,low,2.888439705,some,18,medium,6,5,2,intransitive
å skumpe,verb,medium,4.68031755,some,11,low,6,6,2,alternating
å skylle,verb,medium,5.63,many,21,medium,6,4,2,transitive
å skynde seg,verb,medium,5.125225546,no info,,,10,7,3,transitive
å skyte,verb,medium,6.268630564,many,19,medium,5,4,2,transitive
å skyve,verb,medium,5.834755671,some,12,medium,5,4,2,transitive
å slå,verb,medium,6.27637296,some,14,high,3,3,1,alternating
å slå seg,verb,medium,6,no info,,,7,no info,no info,
å slappe av,verb,medium,5.575061047,no info,,,9,8,3,intransitive
å slåss,verb,medium,6.284302883,some,9,medium,5,4,1,intransitive
å slenge,verb,medium,4.868241789,some,14,high,6,5,2,alternating
å slikke,verb,medium,6.28774744,some,18,medium,6,5,2,alternating
å slipe,verb,medium,5.285519514,some,14,medium,5,5,2,transitive
å slukke,verb,medium,5.613812196,some,17,medium,6,5,2,transitive
å slutte,verb,low,4.304801313,some,14,medium,6,5,2,alternating
å smake,verb,medium,4.851877441,some,15,medium,5,5,2,alternating
å smelte,verb,medium,5.577978209,some,14,medium,6,6,2,alternating
å smile,verb,medium,6.583318939,some,13,medium,5,5,2,intransitive
å smøre,verb,medium,5.512825619,some,6,medium,5,5,2,transitive
å smykke seg,verb,medium,4.804463298,no info,,,10,8,3,transitive
å snakke,verb,medium,5.84214327,some,15,medium,6,5,2,intransitive
å snegle,verb,low,4.373385122,some,12,medium,6,5,2,transitive
å snekre,verb,medium,6.371290187,some,7,medium,6,6,2,transitive
å snike,verb,medium,5.20436065,some,15,medium,5,5,2,alternating
å snø,verb,medium,6.355836674,some,12,medium,3,3,1,intransitive
å snorke,verb,medium,5.42,some,6,low,6,6,2,
å snu,verb,medium,5.597927271,some,14,medium,3,3,1,alternating
å snuse,verb,medium,6.201848582,some,9,medium,5,5,2,alternating
å søle,verb,medium,5.811686242,many,24,medium,4,4,2,alternating
å sole seg,verb,medium,6.255985882,no info,,,8,7,3,transitive
å sørge,verb,medium,5.069747372,some,6,medium,5,5,2,intransitive
å sove,verb,medium,6.473890762,some,18,medium,4,4,2,alternating
å spa,verb,medium,6.208614556,some,14,high,3,3,1,alternating
å spå,verb,medium,5.849281019,some,9,high,3,3,1,alternating
å sparke,verb,medium,6.321550985,some,9,medium,6,6,2,alternating
å spasere,verb,medium,5.880593206,some,5,medium,7,7,3,alternating
å speile seg,verb,medium,6.209965188,no info,,,10,8,3,transitive
å spikke,verb,medium,6.284572511,some,15,medium,6,5,2,alternating
å spikre,verb,medium,6.35737101,some,5,medium,6,6,2,alternating
å spille,verb,medium,6.046154609,some,15,high,6,5,2,alternating
å spille golf,verb,high,6.63538142,no info,,,11,10,3,transitive
å spinne,verb,medium,5.800579263,some,13,medium,6,5,2,alternating
å spise,verb,medium,6.132813525,some,10,medium,5,5,2,alternating
å spisse,verb,medium,5.582359604,some,11,medium,6,5,2,transitive
å spore opp,verb,medium,5.112728406,no info,,,9,8,3,alternating
å spørre,verb,medium,4.739245083,some,5,medium,6,5,2,alternating
å spre,verb,medium,4.585313031,some,10,medium,4,4,1,transitive
å sprekke,verb,medium,5.357160899,some,10,medium,7,6,2,intransitive
å sprette,verb,medium,5.55,some,17,medium,7,6,2,alternating
å springe,verb,medium,5.833531991,some,6,medium,7,6,2,intransitive
å sprute,verb,medium,5.800549506,some,7,medium,6,6,2,alternating
å stå,verb,medium,6.527580852,some,17,high,3,3,1,alternating
å stå på ski,verb,high,6.692422074,no info,,,10,8,3,transitive
å steine,verb,medium,5.98354113,some,9,medium,6,5,2,transitive
å steke,verb,medium,6.489164445,some,14,medium,5,5,2,alternating
å stemme (ved valg),verb,medium,5.72,some,14,medium,6,5,2,alternating
å stemple,verb,medium,6.178435898,some,5,medium,7,7,2,transitive
å stenge,verb,medium,5.23297371,some,15,medium,6,5,2,alternating
å stige,verb,medium,5.279830841,some,9,medium,5,5,2,intransitive
å stikke,verb,medium,5.414475763,many,20,medium,6,5,2,alternating
å stirre,verb,medium,5.74652326,some,10,medium,6,5,2,intransitive
å stjele,verb,medium,5.439423947,few,3,medium,6,6,2,alternating
å støvsuge,verb,high,6.82185979,some,5,low,8,8,3,alternating
å straffe,verb,medium,4.913281436,some,9,medium,7,6,2,transitive
å stråle,verb,medium,6.07553453,some,7,medium,6,6,2,alternating
å strande,verb,medium,5.12864365,some,9,medium,7,6,2,intransitive
å strekke,verb,medium,5.128178633,some,11,medium,7,6,2,alternating
å strikke,verb,medium,6.448308018,some,13,medium,7,6,2,alternating
å strø,verb,medium,6.207545776,some,12,medium,4,4,1,transitive
å stryke,verb,medium,5.966831422,some,7,medium,6,6,2,transitive
å stupe,verb,high,6.852923494,some,14,medium,5,5,2,alternating
å sukre,verb,medium,5.405792168,some,5,medium,5,5,2,transitive
å surfe,verb,medium,6.419658803,some,5,medium,5,5,2,intransitive
å svare,verb,low,3.778361666,many,20,high,5,5,2,alternating
å sveipe,verb,low,3.917945503,some,9,low,6,5,2,transitive
å svekke,verb,low,3.11,some,13,medium,6,5,2,transitive
å svette,verb,medium,5.709020298,some,18,medium,6,5,2,intransitive
å svine til,verb,medium,4.587409093,no info,,,9,8,3,transitive
å svinge,verb,medium,5.753846843,some,15,medium,6,5,2,alternating
å svømme,verb,medium,6.262836864,some,4,medium,6,5,2,intransitive
å sy,verb,medium,6.387854006,many,32,high,2,2,1,alternating
å sykle,verb,medium,6.563692634,some,8,medium,5,5,2,alternating
å synge,verb,medium,6.304618411,some,8,medium,5,4,2,alternating
å synke,verb,medium,5.72314448,some,8,medium,5,5,2,intransitive
å syns,verb,low,3.341207791,some,5,medium,4,4,1,intransitive
å ta,verb,low,4.322223651,many,33,high,2,2,1,transitive
å ta bilde,verb,medium,6.548353689,no info,,,8,8,3,transitive
å tabbe seg ut,verb,medium,4.568682348,no info,,,12,9,4,transitive
å tale,verb,medium,5.24,many,27,medium,4,4,2,alternating
å tapetsere,verb,medium,5.984883797,some,4,low,9,9,4,transitive
å tappe,verb,medium,5.198242458,many,34,medium,5,4,2,transitive
å tegne,verb,medium,6.343262852,many,21,high,5,4,2,alternating
å teipe,verb,medium,6.069339147,some,13,medium,5,4,2,transitive
å telle,verb,medium,4.99,many,30,medium,5,4,2,alternating
å telte,verb,medium,6.054220311,many,25,medium,5,5,2,intransitive
å tenke,verb,low,4.127823895,some,13,high,5,5,2,alternating
å tenne,verb,medium,6.166911844,many,27,high,5,4,2,alternating
å tenne på,verb,medium,5.73840286,no info,,,8,7,3,intransitive
å tigge,verb,medium,5.926989746,many,23,medium,5,4,2,intransitive
å tilsi,verb,low,2.262319548,few,3,medium,5,5,2,transitive
å tiltrekke,verb,low,3.872755484,few,2,medium,9,8,3,ditransitive
å tisse,verb,high,6.926020194,many,33,high,5,4,2,intransitive
å titte,verb,medium,5.785535222,many,28,medium,5,4,2,intransitive
å toge,verb,low,4.495125019,some,17,medium,4,4,2,intransitive
å tolke,verb,low,4.28,some,5,medium,5,5,2,transitive
å tømme,verb,medium,5.07765443,some,18,medium,5,4,2,transitive
å toppe,verb,low,3.214361428,many,24,medium,5,4,2,transitive
å tørke,verb,medium,5.253690377,some,9,medium,5,5,2,alternating
å trå,verb,medium,5.308417068,some,18,high,3,3,1,alternating
å trampe,verb,medium,6.373455376,some,10,medium,6,6,2,intransitive
å trappe ned,verb,low,3.283630409,no info,,,10,9,3,alternating
å tre,verb,medium,4.604900215,many,19,high,3,3,1,alternating
å treffe,verb,medium,5.006308244,some,10,medium,6,5,2,alternating
å trekke,verb,medium,5.455502688,many,22,high,6,5,2,alternating
å trene,verb,medium,6.20532732,many,21,medium,5,5,2,alternating
å trille,verb,medium,5.69,many,23,medium,6,5,2,alternating
å tro,verb,low,3.660379415,some,17,high,3,3,1,transitive
å tromme,verb,medium,6.343042647,some,16,medium,6,5,2,alternating
å trøste,verb,medium,5.31,some,11,medium,6,6,2,transitive
å trylle,verb,medium,6.100772357,some,14,medium,6,5,2,alternating
å tulle,verb,low,4.449164445,many,28,medium,5,4,2,alternating
å tute,verb,medium,6.031001707,many,25,high,4,4,2,intransitive
å tvinge,verb,medium,4.54,some,9,medium,6,5,2,transitive
å tyde,verb,low,3.946421945,some,16,medium,4,4,2,transitive
å undersøke,verb,low,4.35,some,5,medium,9,7,4,transitive
å utgi,verb,low,3.735479228,some,4,medium,4,4,2,transitive
å utstyre,verb,low,4.030769795,some,5,medium,7,7,3,transitive
å utvikle,verb,low,3.419961306,some,5,medium,7,7,3,transitive
å være,verb,low,3.115948624,many,24,high,4,4,2,transitive
å våkne,verb,medium,5.491557471,some,9,medium,5,5,2,intransitive
å vanne,verb,medium,6.494635019,many,32,medium,5,4,2,transitive
å vaske,verb,medium,6.208544414,many,24,medium,5,5,2,alternating
å vaske opp,verb,medium,6.23,no info,,,9,no info,no info,
å vasse,verb,medium,6.12264965,many,28,medium,5,4,2,intransitive
å veie,verb,medium,5.695436005,many,21,medium,4,3,2,alternating
å veive,verb,medium,5.798031215,some,16,medium,5,4,2,intransitive
å vekke,verb,medium,4.986887966,many,26,high,5,4,2,transitive
å velge,verb,low,4.030756282,some,7,medium,5,5,2,alternating
å velte,verb,medium,5.448308018,many,28,medium,5,5,2,alternating
å vente,verb,medium,5.612965929,many,25,high,5,5,2,alternating
å vie,verb,medium,5.631514131,many,25,high,3,3,2,ditransitive
å vifte,verb,medium,6.163054632,some,13,medium,5,5,2,alternating
å ville,verb,low,3.222453032,many,37,high,5,4,2,transitive
å vinke,verb,medium,6.511372316,many,20,medium,5,5,2,alternating
å vinne,verb,medium,5.146152535,many,37,high,5,4,2,alternating
å virke,verb,low,3.074229319,some,14,medium,5,5,2,intransitive
å vise,verb,low,4.269086344,many,27,high,4,4,2,alternating
å vispe,verb,medium,6.202199843,some,14,medium,5,5,2,transitive
å vite,verb,low,3.549669959,many,30,high,4,4,2,transitive
å vugge,verb,medium,5.530313485,some,18,medium,5,4,2,alternating
afasi,noun,low,3.478147783,few,1,low,5,5,3,
alvorlig,adjective,medium,4.704808978,few,1,medium,8,6,3,
amper,adjective,low,4.23703441,few,3,low,5,5,2,
ånd,noun,low,4.450299,many,27,high,3,2,1,
annerledes,adjective,low,3.800062701,few,0,low,10,8,4,
åpen,adjective,medium,5.104850275,some,9,medium,4,4,2,
arbeid,noun,medium,5.364138933,few,2,medium,6,4,2,
arg,adjective,medium,5.261082716,some,14,medium,3,3,1,
arroganse,noun,medium,4.824992109,few,2,low,9,8,4,
artig,adjective,medium,4.707380519,few,3,medium,5,3,2,
avskjed,noun,medium,5.368671265,few,0,low,7,5,2,
avskrekkende,adjective,low,3.248852254,few,2,low,12,10,4,
avsky,noun,medium,4.63538142,few,1,low,5,4,2,
avstand,noun,medium,4.845374612,few,0,low,7,6,2,
bakgrunn,noun,medium,5.034365109,few,0,low,8,6,2,
barnslig,adjective,low,3.64631662,few,2,low,8,6,2,
bebreidelse,noun,low,3.564320765,few,2,low,11,10,4,
begeistret,adjective,medium,5.137565582,some,4,low,10,9,3,
bekymra,adjective,medium,4.68967017,few,2,medium,7,7,3,
besluttsom,adjective,low,3.615246577,few,2,low,10,9,3,
blå,adjective,medium,6.467149684,some,15,high,3,3,1,
blass,adjective,low,4.342389716,some,14,high,5,4,1,
blekk,noun,medium,6.338361666,some,12,medium,5,4,1,
blid,adjective,medium,5.795879353,some,18,high,4,3,1,
blind,adjective,medium,5.540508128,some,10,high,5,4,1,
blod,noun,high,6.66,some,16,high,4,3,1,
bra,adjective,low,3.729164445,many,19,high,3,3,1,
brå,adjective,low,3.879736706,some,18,high,3,3,1,
bråkete,adjective,medium,5.007195005,some,9,medium,7,7,3,
bred,adjective,medium,4.876959202,many,20,high,4,3,1,
briller,noun,high,7.080300775,some,14,medium,7,6,2,
brun,adjective,medium,6.154932756,some,13,high,4,4,1,
brus,noun,medium,6.58,many,20,high,4,4,1,
brysk,adjective,low,4.110157906,some,5,medium,5,5,1,
cola,noun,high,6.698948199,no info,,,4,4,2,
corn flakes,noun,high,6.86,no info,,,11,no info,no info,
dårlig,adjective,low,3.717167362,few,3,medium,6,4,2,
deilig,adjective,low,3.835508139,few,1,medium,6,4,2,
delikat,adjective,low,4.463523697,few,1,low,7,7,3,
desperat,adjective,medium,5.296410178,few,1,medium,8,8,3,
dessert,noun,medium,6.116557471,few,0,low,7,5,2,
detaljert,adjective,low,3.627962299,few,2,medium,9,8,3,
diger,adjective,medium,5.731090614,some,7,medium,5,5,2,
direkte,adjective,low,3.47765443,few,1,low,7,7,3,
dopapir,noun,high,7,no info,,,7,no info,no info,
drømmende,adjective,medium,4.537261988,some,5,low,9,7,3,
dum,adjective,low,4.067125743,some,16,high,3,3,1,
duplo,noun,medium,5.930925782,few,0,low,5,5,2,
dyktig,adjective,low,3.03242242,few,2,medium,6,5,2,
effektfull,adjective,low,2.831566778,few,2,low,10,8,3,
effektiv,adjective,low,4.101586749,few,2,medium,8,7,3,
egentlig,adjective,low,2.117812062,few,2,medium,8,7,3,
ei and,noun,high,6.921147985,many,34,high,3,2,1,
ei balje,noun,medium,6.448550603,some,7,low,5,5,2,
ei barneseng,noun,medium,6.245200136,no info,,,9,7,3,
ei barnevogn,noun,high,6.9293253,few,1,low,9,8,3,
ei bestemor,noun,medium,6.564060051,few,0,low,8,8,3,
ei bjelle,noun,medium,6.384414863,some,7,medium,6,5,2,
ei bleie,noun,medium,6.540319932,some,11,medium,5,4,2,
ei bok,noun,high,6.657511239,many,20,high,3,3,1,
ei bombe,noun,medium,6.04,some,8,medium,5,5,2,
ei bøtte,noun,high,6.828465699,many,22,medium,5,4,2,
ei brødskive,noun,high,6.888228959,no info,,,9,7,3,
ei bukse,noun,medium,6.547950644,some,13,medium,5,5,2,
ei dame,noun,high,6.686033595,some,8,medium,4,4,2,
ei dør,noun,high,7.069296133,many,28,high,3,3,1,
ei dukke,noun,medium,6.505535222,many,19,medium,5,4,2,
ei dyne,noun,high,6.82,some,12,medium,4,4,2,
ei eng,noun,medium,6.43573949,many,23,high,3,2,1,
ei eske,noun,high,6.84,some,17,medium,4,4,2,
ei farmor,noun,medium,6.19,few,0,low,6,6,2,
ei fjær,noun,high,6.717846487,some,6,medium,4,4,1,
ei flaske,noun,medium,6.585313031,some,13,medium,6,6,2,
ei fløyte,noun,high,6.794755671,some,12,medium,6,5,2,
ei flue,noun,high,6.879273304,some,8,medium,4,4,2,
ei frøpakke,noun,medium,5.822422949,no info,,,8,7,3,
ei fure,noun,medium,4.867427281,many,28,high,4,4,2,
ei gardin,noun,high,6.795256958,few,3,low,6,5,2,
ei gås,noun,medium,6.516608127,some,16,high,3,3,1,
ei gate,noun,high,6.651397213,many,20,medium,4,4,2,
ei geit,noun,high,6.619684397,many,20,high,4,3,1,
ei greie,noun,low,2.324761568,some,14,medium,5,4,2,
ei grind,noun,medium,6.073514374,some,13,high,5,4,1,
ei grøft,noun,medium,6.170082875,some,7,medium,5,5,1,
ei gryte,noun,high,6.646648493,some,9,medium,5,5,2,
ei gulrot,noun,high,6.899322074,few,1,low,6,6,2,
ei hagle,noun,medium,6.548444092,some,9,medium,5,5,2,
ei hake,noun,medium,6.13,many,27,medium,4,4,2,
ei hånd,noun,high,7.095006101,many,24,high,4,3,1,
ei handling,noun,low,3.620095192,few,1,low,8,7,2,
ei heks,noun,medium,6.38,some,15,medium,4,4,1,
ei helsesøster,noun,medium,5.979246293,few,1,low,11,11,4,
ei høne,noun,high,6.932290044,some,17,medium,4,4,2,
ei huske,noun,medium,6.421633172,some,16,medium,5,5,2,
ei hylle,noun,high,6.7,many,24,high,5,4,2,
ei hytte,noun,high,6.619245083,many,25,medium,5,4,2,
ei jakke,noun,high,6.688386766,many,23,medium,5,4,2,
ei jente,noun,high,6.921147985,many,19,high,5,5,2,
ei kai,noun,medium,6.6,some,14,high,3,2,1,
ei kanne,noun,high,6.61593566,many,29,high,5,4,2,
ei kasse,noun,medium,6.57,many,28,high,5,4,2,
ei kjerre,noun,medium,6.453116243,some,12,medium,6,4,2,
ei kjøttkake,noun,high,6.84,few,3,low,9,7,3,
ei klesklype,noun,high,6.754723091,few,3,low,9,9,3,
ei klokke (bjelle),noun,medium,6.599116223,some,16,high,6,5,2,
ei klokke (ur),noun,high,6.860775333,some,16,high,6,5,2,
ei konvolutt,noun,high,6.811250448,few,0,low,9,8,3,
ei kortbukse,noun,medium,6.234233903,few,3,low,9,8,3,
ei kråke,noun,medium,6.559850228,some,12,medium,5,5,2,
ei krise,noun,low,3.732256531,some,17,medium,5,5,2,
ei krone (penger),noun,high,6.71,some,16,high,5,5,2,
ei krukke,noun,medium,6.371627526,some,12,low,6,5,2,
ei ku,noun,high,6.649015014,many,29,high,2,2,1,
ei lampe,noun,high,6.659169661,some,13,medium,5,5,2,
ei lekegrind,noun,medium,6.575061047,few,2,low,9,8,3,
ei lekse,noun,medium,4.930676418,some,16,medium,5,5,2,
ei leppe,noun,medium,6.108798873,many,26,high,5,4,2,
ei liste,noun,medium,6.058741973,many,20,high,5,5,2,
ei lommebok,noun,high,6.745780637,few,1,medium,8,7,3,
ei lommelykt,noun,high,6.681529045,few,1,low,9,8,3,
ei lompe,noun,medium,6.447308827,many,19,medium,5,5,2,
ei lue,noun,high,6.661541449,many,29,medium,3,3,2,
ei lykt,noun,medium,6.336157228,some,13,high,4,4,1,
ei lyspære,noun,high,6.77,some,4,low,7,7,3,
ei matpakke,noun,high,6.77703103,few,3,low,8,7,3,
ei mor,noun,medium,6.410089065,many,26,high,3,3,1,
ei mormor,noun,medium,6.58,few,0,low,6,6,2,
ei mugge,noun,high,6.738175863,many,25,medium,5,4,2,
ei murskje,noun,medium,5.695733618,few,2,low,7,4,2,
ei mus,noun,medium,6.572807201,many,20,medium,3,3,1,
ei myr,noun,medium,6.293462673,many,23,high,3,3,1,
ei nål,noun,high,6.834755671,some,14,high,3,3,1,
ei natt,noun,medium,5.787728953,many,29,high,4,3,1,
ei nepe,noun,medium,6.323787593,some,11,medium,4,4,2,
ei nese,noun,high,6.762580699,some,17,medium,4,4,2,
ei øks,noun,high,7.028756342,some,5,medium,3,3,1,
ei oldemor,noun,medium,6.218534478,few,0,low,7,7,3,
ei øse,noun,medium,6.472278866,many,22,medium,3,3,2,
ei pære,noun,high,6.66108271,some,17,high,4,4,2,
ei pakke,noun,medium,6.393254166,many,29,medium,5,4,2,
ei pannekake,noun,medium,6.453390408,few,3,low,9,8,4,
ei pil (våpen),noun,high,6.69,many,23,medium,3,3,1,
ei planteskje,noun,low,4.346729609,no info,,,10,8,3,
ei pølse,noun,high,6.871590195,some,7,medium,5,5,2,
ei potetnese,noun,medium,5.897708854,no info,,,9,9,4,
ei potte,noun,high,6.72,some,17,high,5,4,2,
ei prøve,noun,medium,4.846328824,some,7,medium,5,5,2,
ei pute,noun,medium,6.455131189,many,19,medium,4,4,2,
ei rake,noun,high,6.709607494,many,38,medium,4,4,2,
ei rand,noun,low,4.25050346,many,34,high,4,3,1,
ei rive,noun,medium,6.582804457,many,25,medium,4,4,2,
ei rødbete,noun,medium,6.539346761,some,4,low,7,6,3,
ei rogn,noun,medium,5.57,some,9,medium,4,4,1,
ei rumpe,noun,high,7.032259096,some,14,medium,5,5,2,
ei rye,noun,medium,5.931582188,many,22,high,3,3,2,
ei rynke,noun,medium,6.143292541,some,12,medium,5,5,2,
ei sag,noun,high,6.89671174,many,26,high,3,3,1,
ei saks,noun,high,6.918675148,some,16,high,4,4,1,
ei sandkasse,noun,high,6.637605674,some,4,low,9,7,3,
ei såpeboble,noun,high,6.799301388,few,3,low,9,9,4,
ei selebukse,noun,medium,5.959819868,no info,,,9,9,4,
ei seng,noun,high,6.800062701,some,18,high,4,3,1,
ei side,noun,low,4.475809179,many,20,high,4,4,2,
ei skål,noun,high,6.65,some,9,medium,4,4,1,
ei ski (sport),noun,high,6.75,many,28,high,3,2,1,
ei skilpadde,noun,high,6.653701729,few,3,low,9,7,3,
ei skjære,noun,medium,6.591660142,many,20,high,6,4,2,
ei skje,noun,high,6.701022113,many,31,high,4,2,1,
ei skjorte,noun,high,6.66101666,some,9,medium,7,4,2,
ei sklie,noun,high,6.775237355,some,4,low,5,5,2,
ei skøyte (sport),noun,medium,6.59,some,11,medium,6,4,2,
ei skråning,noun,medium,6.112052394,few,1,low,8,7,2,
ei skulder,noun,medium,6.590348712,few,1,low,7,7,2,
ei smekke,noun,high,6.62,some,18,medium,6,5,2,
ei snekkerbukse,noun,high,6.602922964,few,3,low,12,11,4,
ei snor,noun,medium,6.226154495,some,14,high,4,4,1,
ei snøskuffe,noun,medium,6.549547962,few,3,low,9,8,3,
ei sol,noun,high,6.637605674,many,30,medium,3,3,1,
ei søppelbøtte,noun,medium,6.477428288,no info,,,11,9,4,
ei søster,noun,medium,5.918646364,some,5,medium,6,6,2,
ei spisevogn,noun,medium,6.17,few,1,low,9,9,3,
ei stang,noun,medium,6.357593388,some,15,medium,5,4,1,
ei stekepanne,noun,high,6.658741973,some,4,low,10,9,4,
ei stjerne,noun,medium,6.534236803,few,3,medium,7,6,2,
ei strand,noun,high,6.615844573,some,7,medium,6,5,1,
ei strømpe,noun,medium,6.56,some,5,medium,7,7,2,
ei strømpebukse,noun,high,7.009753805,few,3,low,12,12,4,
ei symaskin,noun,high,6.843189729,few,1,low,8,7,3,
ei synål,noun,medium,6.343993999,few,1,low,5,5,2,
ei t-skjorte,noun,high,6.689060051,no info,,,9,6,3,
ei tå,noun,medium,6.599918904,many,34,high,2,2,1,
ei tang (verktøy),noun,high,6.86,many,30,high,4,3,1,
ei tankeboble,noun,medium,5.874235383,no info,,,10,10,4,
ei tann,noun,high,6.829680573,many,31,high,4,3,1,
ei tante,noun,medium,5.994273583,many,19,medium,5,5,2,
ei tavle,noun,high,6.803189729,some,12,medium,5,5,2,
ei tegneseriestripe,noun,medium,6.181307028,no info,,,16,15,7,
ei tid,noun,low,3.608385081,many,30,high,3,2,1,
ei tønne,noun,medium,6.596136824,some,17,medium,5,4,2,
ei trådsnelle,noun,high,6.77,few,3,low,10,8,3,
ei trampoline,noun,high,6.844755934,few,2,low,10,10,4,
ei trapp,noun,medium,6.523792451,some,15,medium,5,4,1,
ei trillebår,noun,high,6.89,few,2,low,9,8,3,
ei tromme,noun,high,6.844420591,some,16,medium,6,5,2,
ei trøye,noun,high,6.631590195,some,10,medium,5,4,2,
ei truse,noun,medium,6.39477066,some,12,medium,5,5,2,
ei tunge,noun,medium,6.506868329,some,14,medium,5,4,2,
ei ugle,noun,medium,6.522757281,some,11,medium,4,4,2,
ei underbukse,noun,high,6.604572511,few,3,low,10,9,4,
ei vekt,noun,medium,6.462852224,many,25,high,4,4,1,
ei venninne,noun,medium,6.35,few,3,medium,8,6,3,
ei veske,noun,medium,6.285987696,some,16,medium,5,5,2,
ei vifte,noun,medium,6.242342935,some,13,medium,5,5,2,
ei vise,noun,medium,5.33,many,27,high,4,4,2,
ei vugge,noun,high,6.603787593,some,18,medium,5,4,2,
ekkel,adjective,medium,4.517066143,few,2,medium,5,4,2,
en advarsel,noun,low,4.493505226,few,0,low,8,7,3,
en agurk,noun,high,6.945282583,few,0,low,5,5,2,
en åker,noun,medium,6.485770365,some,7,high,4,4,2,
en analyse,noun,low,3.45,few,2,medium,7,7,4,
en ananas,noun,high,6.842001552,few,0,low,6,6,3,
en ånd,noun,medium,4.715439546,many,27,high,3,2,1,
en ankel,noun,high,6.829856594,some,6,medium,5,5,2,
en anklage,noun,low,3.182701493,some,4,medium,7,7,3,
en anledning,noun,low,3.48,few,0,low,9,8,3,
en anmodning,noun,low,3.13,few,0,low,9,8,3,
en annonse,noun,medium,6.13,few,2,medium,7,6,3,
en ape,noun,high,6.710872045,some,18,medium,3,3,2,
en apekatt,noun,high,7.02171174,few,0,low,7,6,3,
en appelsin,noun,high,6.958760868,few,0,low,8,7,3,
en arm,noun,high,6.640637773,many,21,medium,3,3,1,
en arrangør,noun,low,3.795211257,few,1,low,8,7,3,
en årsak,noun,low,2.38,few,3,low,5,4,2,
en avgift,noun,medium,5.120694322,few,1,low,6,6,2,
en avis,noun,high,6.740661381,some,4,medium,4,4,2,
en avling,noun,medium,5.28044887,few,1,low,6,5,2,
en avskjed,noun,medium,5.3825276,few,0,low,7,5,2,
en avtale,noun,low,4.138021935,some,5,medium,6,6,3,
en baby,noun,high,6.758224376,few,0,low,4,4,2,
en bakende,noun,medium,4.938837118,few,3,low,7,6,3,
en bakgård,noun,medium,6.55,few,0,low,7,6,2,
en balkong,noun,medium,6.204302166,few,0,low,7,6,2,
en ball,noun,high,6.64631662,many,23,high,4,3,1,
en ballong,noun,high,6.829680573,few,3,low,7,5,2,
en banan,noun,high,6.860438249,few,1,low,5,5,2,
en barne-tv-serie,noun,medium,5.445618997,no info,,,14,13,7,
en barnehage,noun,high,6.753295392,few,2,medium,9,8,4,
en barnestol,noun,high,6.73,no info,,,9,no info,no info,
en bart,noun,medium,6.540760434,some,15,high,4,3,1,
en bås,noun,medium,5.93,many,25,medium,3,3,1,
en bass,noun,medium,5.32,many,27,medium,4,3,1,
en båt,noun,high,6.698948199,many,20,medium,3,3,1,
en bebreidelse,noun,low,3.573173749,few,2,low,11,10,4,
en begravelse,noun,medium,6.37038575,few,3,medium,10,10,4,
en begynnelse,noun,low,3.336976983,few,2,medium,10,9,4,
en belgfrukt,noun,medium,5.020001586,few,1,low,9,9,2,
en benk,noun,high,6.878258695,some,9,medium,4,4,1,
en bensinstasjon,noun,high,6.802048086,few,0,low,13,12,4,
en beskjed,noun,medium,5.00873924,few,3,low,7,4,2,
en bestefar,noun,medium,6.345991967,few,0,low,8,8,3,
en bestrebelse,noun,low,3.143817341,few,2,low,11,11,4,
en bie,noun,medium,6.519645136,many,19,high,3,3,2,
en bil,noun,medium,6.561385304,many,19,medium,3,3,1,
en bildeserie,noun,medium,5.063353383,no info,,,10,10,5,
en bille,noun,high,6.704395619,many,30,high,5,4,2,
en bisettelse,noun,medium,6.004523337,few,2,low,10,9,4,
en bit,noun,medium,5.653701729,many,21,high,3,3,1,
en bjørn,noun,high,6.783630409,few,0,low,5,4,1,
en blomkål,noun,high,6.906005285,few,0,low,7,7,2,
en blomst,noun,high,6.68573949,few,2,medium,6,6,1,
en blyant,noun,high,6.943792429,few,1,medium,6,6,2,
en blyantspisser,noun,high,6.849546931,few,1,low,13,12,4,
en bod,noun,medium,6.447405495,many,19,high,3,3,1,
en boks,noun,high,6.76,some,6,medium,4,4,1,
en bokstav,noun,high,6.63,few,0,low,7,7,2,
en bølge,noun,medium,6.351569979,some,8,medium,5,5,2,
en bolig,noun,medium,6.241557471,some,4,medium,5,4,2,
en bolt,noun,medium,5.71152563,some,11,medium,4,4,1,
en bonde,noun,medium,6.537728953,some,16,medium,5,4,2,
en bondegård,noun,medium,6.520969481,few,1,low,9,7,3,
en bønn,noun,low,3.898683185,some,15,medium,4,3,1,
en bønne,noun,medium,6.06158831,some,18,medium,5,4,2,
en borg,noun,high,6.679595146,some,11,medium,4,4,1,
en børste,noun,medium,6.420185929,some,10,high,6,5,2,
en bragd,noun,low,3.540001626,few,2,low,5,5,1,
en brann,noun,high,6.75,some,12,medium,5,4,1,
en brannbil,noun,high,7.023995016,few,0,low,8,7,2,
en brannmann,noun,medium,6.460201204,few,1,low,9,7,2,
en brodd,noun,medium,5.5949617,some,8,medium,5,4,1,
