Word,Word class,Imageability (level),Imageability,Number of phonological neighbours (level),Number of phonological neighbours,Phonological neighbourhood density (level),Number of letters,Number of sounds,Number of syllables,Transitivity
et sykehus,noun,high,6.808417068,few,2,medium,7,7,3,
et syndrom,noun,low,3.760246218,few,2,low,7,7,2,
et system,noun,low,4.162954109,few,2,medium,6,6,2,
et tak,noun,high,6.675476604,many,24,high,3,3,1,
et tårn,noun,medium,6.55,some,14,medium,4,3,1,
et tegn,noun,medium,4.743523697,many,22,medium,4,3,1,
et telt,noun,high,6.608741973,many,23,high,4,4,1,
et tema,noun,low,3.612082142,some,7,medium,4,4,2,
et tempo,noun,low,3.54,some,5,medium,5,5,2,
et teppe,noun,high,6.90716008,many,20,medium,5,4,2,
et termometer,noun,high,6.712041666,few,1,low,10,10,4,
et tjern,noun,medium,6.46,some,8,medium,5,3,1,
et toalett,noun,high,6.83982075,few,2,medium,7,6,3,
et tog,noun,high,6.978400078,some,15,medium,3,3,1,
et tonn,noun,low,3.7,many,21,high,4,3,1,
et tøystykke,noun,medium,5.921100456,no info,,,9,7,3,
et tre,noun,high,6.893630564,many,19,high,3,3,1,
et trekkspill,noun,high,6.933765521,few,3,low,10,8,2,
et triks,noun,low,4.293153202,some,12,medium,5,5,1,
et troll,noun,medium,6.58,some,15,medium,5,4,1,
et utkast,noun,low,4.377709178,some,4,medium,6,6,2,
et utropstegn,noun,high,6.754755671,few,2,low,10,9,3,
et utsnitt,noun,low,3.79982075,few,2,low,7,6,2,
et vær,noun,medium,4.836350083,many,24,high,3,3,1,
et vann,noun,medium,6.307774094,many,35,high,4,3,1,
et vedskjul,noun,medium,6.535999352,few,2,low,8,5,2,
et vedtak,noun,low,4.24,few,2,medium,6,5,2,
et verk,noun,low,3.846803894,some,18,medium,4,4,1,
et verktøy,noun,medium,6.105807292,few,2,medium,7,6,2,
et vers,noun,medium,5.15,some,18,high,4,3,1,
et vesen,noun,medium,4.656549364,some,8,medium,5,5,2,
et vindu,noun,medium,6.41033692,some,4,medium,5,5,2,
et virke,noun,low,3.612704443,some,14,medium,5,5,2,
et yrke,noun,medium,4.545386613,some,8,medium,4,4,2,
evidens,noun,low,2.68,few,1,low,7,7,3,
fæl,adjective,low,3.987012142,many,27,high,3,3,1,
falskhet,noun,low,3.717801304,few,1,low,8,8,2,
fantastisk,adjective,low,3.629246293,few,1,medium,10,10,3,
farlig,adjective,low,3.706028291,few,3,medium,6,4,2,
fart,noun,medium,5.327308373,some,16,high,4,3,1,
feber,noun,medium,5.66,few,2,medium,5,5,2,
ferdig,adjective,low,3.849645852,some,4,medium,6,4,2,
fin,adjective,medium,4.567596134,many,21,high,3,3,1,
fjern,adjective,medium,4.58172524,some,4,medium,5,4,1,
flagrende,adjective,medium,5.211418644,few,3,low,9,8,3,
flaks,noun,low,3.633467639,some,12,medium,5,5,1,
flau,adjective,medium,5.08,some,13,medium,4,3,1,
flink,adjective,medium,4.503178633,some,6,medium,5,5,1,
flott,adjective,low,4.062424695,some,18,high,5,4,1,
folk,noun,medium,5.93,some,8,medium,4,4,1,
forarget,adjective,low,4.194261624,some,5,low,8,8,3,
forbannet,adjective,medium,5.136862011,some,6,medium,9,8,3,
forferdelig,adjective,low,3.759960804,few,1,medium,11,10,4,
forferdet,adjective,medium,4.897852513,some,6,low,9,9,3,
forgjeves,adjective,low,2.897708854,few,0,low,9,8,3,
forgrunnen,noun,low,4.083056151,few,2,low,10,9,3,
forlatelse,noun,low,2.843489589,few,1,low,10,9,4,
fornøyd,adjective,medium,5.069810937,some,5,medium,7,5,2,
forræderi,noun,low,3.315134901,few,2,low,9,8,4,
forsiktig,adjective,low,4.213559217,few,1,medium,9,7,3,
forskjellig,adjective,low,3.948550603,few,3,medium,11,6,3,
forskrekkelse,noun,medium,5.003593617,few,3,low,13,11,4,
forskrekket,adjective,medium,5.269810937,some,4,low,11,9,3,
forskremt,adjective,low,3.9293253,few,1,low,9,8,2,
