Word,English translation,Word class,Imageability (level),Imageability,Subjective AoA (level),Subjective AoA,Usage frequency (level),Usage frequency,Usage frequency per million words,No. phonological neighbours (level),No. phonological neighbours,Phonological neighbourhood density (level),Phonological neighbourhood density,Phonological neighbours,No. letters,No. sounds,No. syllables,Derivation?,Compound?,First sound fricative?,Starts in consonant cluster?,Grammatical gender,Mainly used in plural?,Mass noun?,Valency,Transitivity,Multi-word phrase?
å se,to see,verb,medium,5.318675148,early,2.307692308,high,1566931,2238.472857,many,37,high,28438872,"det (16712), med (9528), så (3760), seg (2931), seg (2931), ved (1598), ser (759), ned (527), si (497), re (360), sa (306), sted (199), be (133), skje (90), he (76), le (38), te (36), ve (17), ses (17), v. (13), ne (11), sen (10), såg (7), sei (7), sau (7), su (5), sy (5), sel (4), zoo (3), fe (3), sæd (3), kje (3), spe (2), seig (2), sid (2), smed (2), ste (1), sne (<1), sed (<1), sved (<1), sped (<1), sev (<1), sve (<1), sou (<1), sioux (<1), sæl (<1)",2,2,1,FALSE,FALSE,TRUE,FALSE,,,,1,alternating,FALSE
å se på (TV),to watch (TV),verb,medium,6.123696037,medium,4.84,high,152868,218.3828571,no info,,,,no info,5,5,2,FALSE,FALSE,TRUE,FALSE,,,,2,transitive,TRUE
å seile,to sail,verb,medium,6.289109885,medium,5.910714286,medium,11851,16.93,many,31,medium,38140,"heile (10), seire (7), seiler (6), safe (4), seilte (4), feile (2), sole (2), sale (2), sele (2), speile (1), seige (1), søle (1), steile (1), sæle (<1), seilet (<1), sile (<1), seine (<1), søyle (<1), såle (<1), peile (<1), seiles (<1), snegle (<1), seglet (<1), seglet (<1), segla (<1), seide (<1), segler (<1), segne (<1), beile (<1), veile (<1), sule (<1), seise (<1), geile (<1), segles (<1), reile (<1)",5,4,2,TRUE,FALSE,TRUE,FALSE,,,,1,alternating,FALSE
å selge,,verb,medium,4.88,,,high,171305,244.7214286,many,32,high,367687,"sette (188), selve (90), sende (89), selges (35), melde (35), gjelde (21), helle (12), telle (9), celler (6), pelle (6), felle (5), elle (4), stelle (3), sele (2), cellen (1), snelle (1), selvet (1), smelle (1), skjelle (1), selje (1), sæle (<1), cella (<1), velle (<1), seller (<1), svelle (<1), helde (<1), settle (<1), spelle (<1), sulle (<1), gjelle (<1), selveiet (<1), silde (<1), sålde (<1), selveie (<1), sesse (<1), tjelde (<1), sellen (<1)",5,4,2,FALSE,FALSE,TRUE,FALSE,,,,,transitive,FALSE
å sende,to send,verb,medium,5.34147116,medium,4.714285714,high,269829,385.47,many,24,high,1695216,"denne (1559), henne (244), sette (188), selge (71), sender (60), sendte (47), sendes (43), kjenne (41), ende (31), hende (27), scene (21), sanne (13), vende (11), sinne (10), sunne (8), sunde (5), sinnet (4), sene (4), venne (4), renne (4), tenne (4), celle (3), dennes (2), spenne (1), sennep (1), spennet (<1), lende (<1), selle (<1), penne (<1), lendet (<1), skjenne (<1), bende (<1), nenne (<1), skjende (<1), kjennet (<1), sesse (<1), hendet (<1)",5,4,2,FALSE,FALSE,TRUE,FALSE,,,,2,alternating,FALSE
å servere,,verb,medium,5.79,,,medium,25725,36.75,some,4,medium,25954,"server (19), serverer (7), serveres (6), serverte (3)",7,7,3,FALSE,FALSE,TRUE,FALSE,,,,,alternating,FALSE
å sette,to set/to put,verb,low,4.444567464,medium,4.357142857,high,416322,594.7457143,many,32,high,2602824,"dette (3005), setter (149), sende (89), satte (74), selge (71), sitte (64), rette (59), settes (51), sendte (47), lette (24), mette (17), tette (10), sjette (9), svette (7), settet (5), sete (5), gjette (5), setet (4), celle (3), vettet (3), nette (2), hette (2), sætte (<1), smette (<1), selle (<1), settle (<1), jette (<1), sutte (<1), vette (<1), ætte (<1), usette (<1), stette (<1), smettet (<1), bedte (<1), sytte (<1), sesse (<1), stedte (<1), spette (<1), vætte (<1), kjette (<1), z-er (<1)",5,4,2,FALSE,FALSE,TRUE,FALSE,,,,1,alternating,FALSE
å si,to say,verb,low,3.919878195,early,3.615384615,high,1464839,2092.627143,many,35,high,30172339,"i (21794), de (6589), vi (4194), så (3760), seg (2931), se (1032), sin (969), tid (565), gi (454), sa (306), ti (122), mi (49), ni (43), di (41), bi (29), siv (28), ski (27), sig (26), ri (22), sir (15), hi (14), sida (9), såg (7), sei (7), sau (7), li (6), vid (6), su (5), sy (5), sti (5), svi (4), zoo (3), sil (3), pi (3), seig (2), tee (1), sik (1), smi (<1), seed (<1), sip (<1), sikh (<1), hvi (<1), sou (<1), sioux (<1), sidt (<1)",2,2,1,FALSE,FALSE,TRUE,FALSE,,,,1,alternating,FALSE
å sikre seg,to secure,verb,low,3.419963631,late,11.85714286,medium,12995,18.56428571,no info,,,,no info,9,8,3,FALSE,FALSE,TRUE,FALSE,,,,3,ditransitive,TRUE
å sitte,to sit,verb,high,6.687518907,early,2.188679245,high,224251,320.3585714,many,31,high,687954,"siste (613), sette (188), satte (74), sikte (19), siktet (15), sittet (14), sinne (10), smitte (9), sinte (5), gitte (5), sinnet (4), titte (4), suite (4), bitte (3), fitte (2), sætte (<1), litte (<1), midte (<1), sidde (<1), sutte (<1), snitte (<1), sitre (<1), sippe (<1), silde (<1), sittes (<1), kitte (<1), hitte (<1), sytte (<1), lidte (<1), hvitte (<1), skitte (<1), nitte (<1)",5,4,2,FALSE,FALSE,TRUE,FALSE,,,,1,alternating,FALSE
